name,url,category,chemistry,chemistry html,IMA Symbol,Strunz class,crystal system,crystal class,crystal class symbol,H-M symbol,color,cleavage,mohs,streak,gravity,luster,habit,varieties,summary
Bonaccordite,https://en.wikipedia.org/wiki/Bonaccordite,Borates,Ni2FeBO5,Ni<sub>2</sub>FeBO<sub>5</sub>,Bna,6.AB.30,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,,,,,,,,,"Bonaccordite is a rare mineral discovered in 1974. Its chemical formula is Ni2FeBO5 and it is a mineral of the ludwigite group. It usually crystallizes in long, cylindrical prisms that form within another source. It is named after the area of Bon Accord, where it was first found. There have also been findings of bonaccordite within nuclear plants at multiple companies. It builds up a deposit within the machines and is a very hard mineral to clean out because it is resistant to ordinary techniques."
Boracite,https://en.wikipedia.org/wiki/Boracite,Tektoborates,Mg3B7O13Cl,Mg<sub>3</sub>B<sub>7</sub>O<sub>13</sub>Cl,Boc,6.GA.05,Orthorhombic,Pyramidal,mm2,mm2,"Colorless, white, gray, brown, orange, yellow, pale green, dark green, blue-green, or blue; colorless in transmitted light",None,7 - 7.5,White,2.95,Vitreous - adamantine,"Crystalline, disseminated (pseudocubic)",,"Boracite is a magnesium borate mineral with formula: Mg3B7O13Cl. It occurs as blue green, colorless, gray, yellow to white crystals in the orthorhombic - pyramidal crystal system. Boracite also shows pseudo-isometric cubical and octahedral forms. These are thought to be the result of transition from an unstable high temperature isometric form on cooling. Penetration twins are not unusual. It occurs as well formed crystals and dispersed grains often embedded within gypsum and anhydrite crystals. It has a Mohs hardness of 7 to 7.5 and a specific gravity of 2.9. Refractive index values are nα = 1.658 - 1.662, nβ = 1.662 - 1.667 and nγ = 1.668 - 1.673. It has a conchoidal fracture and does not show cleavage. It is insoluble in water (not to be confused with borax, which is soluble in water)."
Borax,https://en.wikipedia.org/wiki/Borax,,,,,,,,,,,,,,,,,,
Bornite,https://en.wikipedia.org/wiki/Bornite,Sulfide mineral,Cu5FeS4,Cu<sub>5</sub>FeS<sub>4</sub>,Bn,2.BA.10,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,"Copper red, bronze brown, purple",Poor on [111],3–3.25,Grayish black,5.06–5.08,"Metallic if fresh, iridescent tarnish","Granular, massive, disseminated – Crystals pseudocubic, dodecahedral, octahedral",,"Bornite, also known as peacock ore, is a sulfide mineral with chemical composition Cu5FeS4 that crystallizes in the orthorhombic system (pseudo-cubic)."
Botallackite,https://en.wikipedia.org/wiki/Botallackite,Halide minerals,Cu2(OH)3Cl,Cu<sub>2</sub>(OH)<sub>3</sub>Cl,Blk,3.DA.10b,Monoclinic,Prismatic,2/m,2/m,,{100} Perfect,Soft,,3.6,,Platy interlaced crystal crusts,,
Botryogen,https://en.wikipedia.org/wiki/Botryogen,Sulfate minerals,MgFe3+(SO4)2(OH)·7H2O,MgFe<sup>3+</sup>(SO<sub>4</sub>)<sub>2</sub>(OH)·7H<sub>2</sub>O,Byg,7.DC.25,Monoclinic,Prismatic,2/m,2/m,,,2 - 2.5,,2.14,,,,Botryogen is a hydrous magnesium sulfate mineral with formula: MgFe3+(SO4)2(OH)·7H2O. It is also known as quetenite.
Boulangerite,https://en.wikipedia.org/wiki/Boulangerite,Sulfosalt minerals,Pb5Sb4S11,Pb<sub>5</sub>Sb<sub>4</sub>S<sub>11</sub>,Bou,2.HC.15,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,,Good Distinct on {100}  Indistinct on {001} and {010},2.5 - 3,Reddish brown to black,,Metallic,,,"Boulangerite is an uncommon monoclinic orthorhombic sulfosalt mineral, lead antimony sulfide, formula Pb5Sb4S11. It was named in 1837 in honor of French mining engineer Charles Boulanger (1810–1849), and had been a valid species since pre-IMA. It was first described prior to 1959, and is now grandfathered."
Bournonite,https://en.wikipedia.org/wiki/Bournonite,Sulfosalt mineral,PbCuSbS3,PbCuSbS<sub>3</sub>,Bnn,2.GA.50,Orthorhombic,Pyramidal,mm2,mm2,Steel-gray to iron-black,[010] Imperfect,2.5 - 3.0,Steel-gray to iron-black,5.7 - 5.9,Brilliant to dull,"Crystals short prismatic to tabular, typically striated; commonly as subparallel aggregates. Also massive, granular to compact",,
Boussingaultite,https://en.wikipedia.org/wiki/Boussingaultite,Sulfate mineral,(NH4)2Mg(SO4)2·6H2O,(NH<sub>4</sub>)<sub>2</sub>Mg(SO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O,Bsg,7.CC.60,Monoclinic,Prismatic,2/m,2/m,"Colorless, yellow pink, light yellow, pink; colorless in transmitted light",{201} perfect (synthetic),2,White,1.73,"Vitreous (glassy), silky",,,"Boussingaultite is a rare ammonium magnesium hydrated sulfate mineral of the chemical formula: (NH4)2Mg(SO4)2 · 6 H2O. The formula of boussingaultite is that of Tutton's salts type. It was originally described from geothermal fields in Tuscany, Italy, where it occurs together with its iron analogue mohrite, but is more commonly found on burning coal dumps. The mineral possess monoclinic symmetry and forms clear, often rounded crystals."
Bowieite,https://en.wikipedia.org/wiki/Bowieite,Sulfide mineral,Rh2S3,Rh<sub>2</sub>S<sub>3</sub>,,2.DB.15,Orthorhombic,,,,Pale-gray to Pale gray-brown,,,,,Metallic,,,"Bowieite is a rhodium-iridium-platinum sulfide mineral (Rh,Ir,Pt)2S3, found in platinum-alloy nuggets from Goodnews Bay, Alaska. It was named (by the IMA in 1984) after the British scientist Stanley Bowie (1917–2008), in recognition of his work on identification of opaque minerals."
Braggite,https://en.wikipedia.org/wiki/Braggite,Sulfide mineral,"(Pt,Pd,Ni)S","(Pt,Pd,Ni)S",Bg,2.CC.35a,Tetragonal,Dipyramidal,4/m,4/m,Steel grey; white in reflected light,None,1.5,,10 (measured) 9.383 (calculated),Metallic,Prismatic crystals and rounded grains,,"Braggite is a sulfide mineral of platinum, palladium and nickel with chemical formula: (Pt, Pd, Ni)S.  It is a dense (specific gravity of 10), steel grey, opaque mineral which crystallizes in the tetragonal crystal system. It is the central member in the platinum group end-members cooperite and vysotskite."
Brassite,https://en.wikipedia.org/wiki/Brassite,Arsenate mineral,Mg(AsO3OH)·4(H2O),Mg(AsO<sub>3</sub>OH)·4(H<sub>2</sub>O),Bsi,8.CE.15,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,White,{001} Perfect,,White,2.28,"Silky, dull, earthy",Cryptocrystalline crusts,,"Brassite is a rare arsenate mineral with the chemical formula Mg(AsO3OH)·4(H2O). It was named brassite, in 1973, to honor French chemist R`ejane Brasse, who first synthesized the compound. The type locality for brassite is Jáchymov of the Czech Republic."
Braunite,https://en.wikipedia.org/wiki/Braunite,Nesosilicates,Mn2+Mn3+6[O8|SiO4],Mn<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>[O<sub>8</sub>|SiO<sub>4</sub>],Bnt,9.AG.05,Tetragonal,Ditetragonal dipyramidal,4/mmm,4/m 2/m 2/m,"brownish black, steel-grey",{112} perfect,6-6+1⁄2,black,4.72 - 4.83,sub-metallic,,,"Braunite is a silicate mineral containing both di- and tri-valent manganese with the chemical formula:Mn2+Mn3+6[O8|SiO4]. Common impurities include iron, calcium, boron, barium, titanium, aluminium, and magnesium."
Brazilianite,https://en.wikipedia.org/wiki/Brazilianite,Phosphate minerals,NaAl3(PO4)2(OH)4sodium aluminium phosphate hydroxide,NaAl<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub><br/>sodiumaluminiumphosphatehydroxide,Bzl,8.BK.05,Monoclinic,Prismatic,2/m,2/m,"Yellow, green, colorless",(010) Distinct to good,5.5,White,2.98,Vitreous,"Prismatic crystals, may be radially-fibrous or globular druses",,"Brazilianite, whose name derives from its country of origin, Brazil, is a typically yellow-green phosphate mineral, most commonly found in phosphate-rich pegmatites."
Breithauptite,https://en.wikipedia.org/wiki/Breithauptite,Antimonide mineral,nickel antimonide (NiSb),nickelantimonide(NiSb),Bhp,2.CC.05,Hexagonal,Dihexagonal dipyramidal,6/mmm,6/m 2/m 2/m,"Pale copper-red, may be with violet tint",None,5.5,Reddish brown,7.591–8.23 measured; 8.629 calculated,Metallic,"Crystals rare, thin tabular or needlelike, to 1 mm; arborescent, disseminated, massive",,"Breithauptite is a nickel antimonide mineral with the simple formula NiSb. Breithauptite is a metallic opaque copper-red mineral crystallizing in the hexagonal - dihexagonal dipyramidal crystal system. It is typically massive to reniform in habit, but is observed as tabular crystals. It has a Mohs hardness of 3.5 to 4 and a specific gravity of 8.23."
Brewsterite,https://en.wikipedia.org/wiki/Brewsterite,Zeolite,,,Brw,9.GE.20,Monoclinic,Possibly prismatic,2/m,,,,,,,Vitreous,,,"Brewsterite is the name of a series of tectosilicate minerals of the zeolite group.  Prior to 1997, brewsterite was recognized as a mineral species, but a reclassification in 1997 by the International Mineralogical Association changed it to a series name, with the mineral species being named brewsterite-Sr and brewsterite-Ba.  Brewsterite-Sr, the more common of these, is a hydrous strontium and aluminium silicate, (Sr,Ba)2Al4Si12O32·10H2O.  Small amounts of barium is usually present replacing part of the strontium.  The appropriate species name depends on the dominant element.  The species are visually indistinguishable, and the series name brewsterite is still used whenever testing has not been performed."
Brezinaite,https://en.wikipedia.org/wiki/Brezinaite,Sulfide mineral,Cr3S4,Cr<sub>3</sub>S<sub>4</sub>,Bzn,2.DA.15,Monoclinic,Prismatic,2/m,2/m,"Brownish gray, gray",,3.5-4.5,,4.12,Metallic - dull,,,"Brezinaite, discovered in 1969, is a rare mineral composed of chromium and sulfur. It is found in meteorites, such as the Tucson Ring meteorite (Irwin-Ainsa meteorite), its type locality. It was also found in the New Baltimore meteorite and the Sikhote-Alin meteorite. Brezinaite was named in honour of Aristides Brezina (1848–1909), a past director of the Mineralogy-Petrology Section of the Natural History Museum, Vienna, Austria."
Brianite,https://en.wikipedia.org/wiki/Brianite,Phosphate minerals,Na2CaMg(PO4)2,Na<sub>2</sub>CaMg(PO<sub>4</sub>)<sub>2</sub>,Bne,8.AC.30,Monoclinic,Prismatic,2/m,2/m,Colorless,,4-5,,3.0-3.1,Vitreous,Anhedral grains with lamellar structur visible under polarized light,,"Brianite is a phosphate mineral with the chemical formula Na2CaMg(PO4)2.  It was first identified in an iron meteorite.  This mineral is named after Brian Harold Mason (1917–2009), a pioneer in meteoritics."
Brianyoungite,https://en.wikipedia.org/wiki/Brianyoungite,Carbonate mineral,"Zn3(CO3,SO4)(OH)4","Zn<sub>3</sub>(CO<sub>3</sub>,SO<sub>4</sub>)(OH)<sub>4</sub>",Byo,5.BF.30,Monoclinic,Prismatic,2/m,2/m,White,"Perfect on {100}, possible on {001}",2 to 2.5,White,3.93 to 4.09,Vitreous,"Rosettes of thin blades, pseudo-orthorhombic with β close to 90° ",,"Brianyoungite is a secondary zinc carbonate mineral. The Commission on New Minerals, Nomenclature and Classification (CNMNC) of the International Mineralogical Association (IMA) classifies it as a carbonate with the formula Zn3(CO3)(OH)4, but sulfate groups SO4 also occupy the carbonate CO3 positions, in the ratio of about one sulfate to three carbonates, so other sources give the formula as Zn3(CO3,SO4)(OH)4, and Gaines et al. classify the mineral as a compound carbonate.  It is similar in appearance to hydrozincite, another zinc carbonate.  It was discovered in 1991 and designated IMA1991-053.  In 1993 it was named ""brianyoungite"" after Brian Young (born 1947), a field geologist with the British Geological Survey, who provided the first specimens."
Briartite,https://en.wikipedia.org/wiki/Briartite,Mineral,"Cu2(Fe,Zn)GeS4","Cu2(Fe,Zn)GeS4",Btt,02.KA.10,Tetragonal,,,,,,3½ - 4½,,4.337 (Calculated),Metallic; Unpolished,,,"Briartite is an opaque iron-grey metallic sulfide mineral, Cu2(Zn,Fe)GeS4 with traces of Ga and Sn, found as inclusions in other germanium-gallium-bearing sulfides."
Silicate perovskite,https://en.wikipedia.org/wiki/Bridgmanite,,,,,,,,,,,,,,,,,,"Silicate perovskite is either (Mg,Fe)SiO3 (the magnesium end-member is called bridgmanite) or CaSiO3 (calcium silicate known as davemaoite) when arranged in a perovskite structure. Silicate perovskites are not stable at Earth's surface, and mainly exist in the lower part of Earth's mantle, between about 670 and 2,700 km (420 and 1,680 mi) depth. They are thought to form the main mineral phases, together with ferropericlase."
Brochantite,https://en.wikipedia.org/wiki/Brochantite,Sulfate minerals,Cu4SO4(OH)6,Cu<sub>4</sub>SO<sub>4</sub>(OH)<sub>6</sub>,Bct,7.BB.25,Monoclinic,Prismatic,2/m,2/m,"Green, emerald green, or black",Perfect [100],3.5 - 4.0,Pale green,3.97,Vitreous to pearly,Prismatic crystals; acicular needle-like crystals; druse,,"Brochantite is a sulfate mineral, one of a number of cupric sulfates. Its chemical formula is Cu4SO4(OH)6. Formed in arid climates or in rapidly oxidizing copper sulfide deposits, it was named by Armand Lévy for his fellow Frenchman, geologist and mineralogist A. J. M. Brochant de Villiers."
Brockite,https://en.wikipedia.org/wiki/Brockite,Phosphate mineral,"(Ca,Th,Ce)PO4·H2O","(Ca,Th,Ce)PO<sub>4</sub>·H<sub>2</sub>O",Bck,8.CJ.45,Hexagonal,Trapezohedral,622,622,"Reddish brown, yellow (red brown due to inclusions of hematite)",None observed,3 - 4,,3.9 (measured),Greasy to vitreous,"Rarely as Stubby hexagonal prisms rare; common as granular massive aggregates, cryptocrystalline",,"Brockite is a rare earth phosphate mineral with formula: (Ca,Th,Ce)PO4·H2O. It crystallizes in the hexagonal system in the chiral space group 180 or its enantiomorph 181. It is typically granular to massive with only rare occurrence of stubby crystals. It is radioactive due to the thorium content."
Bromargyrite,https://en.wikipedia.org/wiki/Bromargyrite,Halide minerals,AgBr,AgBr,,3.AA.15,Isometric,Hexoctahedral,m3m,4/m 3 2/m,"Yellowish, greenish brown, bright green",None observed,2+1⁄2,White to yellowish white,6.474,"Adamantine, resinous, waxy",,,Bromyrite or bromargyrite is a natural mineral form of silver bromide found mainly in Mexico and Chile. Hardness is 1.5 to 2. Related are chlorargyrite and iodyrite.
Bromellite,https://en.wikipedia.org/wiki/Bromellite,Oxide minerals,BeO (beryllium oxide),BeO<br/>(berylliumoxide),,4.AB.20,Hexagonal,Dihexagonal pyramidal,6mm,6mm,"White, colorless",[1010] Distinct,9,White,3.02,Vitreous,prismatic,,"Bromellite, whose name derives from the Swedish chemist Magnus von Bromell (1670–1731), is a white oxide mineral, found in complex pegmatitic manganese-iron deposits, but is more frequently made synthetically. This is a rare mineral to encounter in its natural state, but it has been made synthetically for over 40 years."
Bronzite,https://en.wikipedia.org/wiki/Bronzite,,,,,,,,,,,,,,,,,,"Bronzite is a member of the pyroxene group of minerals, belonging with enstatite and hypersthene to the orthorhombic series of the group. Rather than a distinct species, it is really a ferriferous variety of enstatite, which owing to partial alteration has acquired a bronze-like sub-metallic luster on the cleavage surfaces."
Brookite,https://en.wikipedia.org/wiki/Brookite,Oxide minerals,TiO2,TiO<sub>2</sub>,,4.DD.10,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,"Deep red, reddish brown, yellowish brown, brown, or black","Poor on {120}, in traces on {001}",5+1⁄2 to 6,"White, greyish or yellowish",4.08 to 4.18,Submetallic,"Tabular and striated, pyramidal or pseudohexagonal",,"Brookite is the orthorhombic variant of titanium dioxide (TiO2), which occurs in four known natural polymorphic forms (minerals with the same composition but different structure). The other three of these forms are akaogiite (monoclinic), anatase (tetragonal) and rutile (tetragonal).  Brookite is rare compared to anatase and rutile and, like these forms, it exhibits photocatalytic activity.  Brookite also has a larger cell volume than either anatase or rutile, with 8 TiO2 groups per unit cell, compared with 4 for anatase and 2 for rutile. Iron (Fe), tantalum (Ta) and niobium (Nb) are common impurities in brookite."
Brownleeite,https://en.wikipedia.org/wiki/Brownleeite,"Native element class, Fersilicite group",MnSi,MnSi,Bwn,1.XX.00,Isometric,Tetartoidal,23,23,,,,,,,Cubic grain in microscopic dust particle (< 2.5 μm),,"Brownleeite is a silicide mineral with chemical formula MnSi. It was discovered by researchers of the Johnson Space Center in Houston while analyzing the Pi Puppid particle shower of the comet 26P/Grigg-Skjellerup. The only other known natural manganese silicide is mavlyanovite, Mn5Si3."
Brownmillerite,https://en.wikipedia.org/wiki/Brownmillerite,Oxide mineral,"Ca2(Al,Fe)2O5",Ca<sub>5</sub>,Bmlr,4.AC.10,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,Reddish brown,,,,3.76,,As minute square platelets; massive,,"Brownmillerite is a rare oxide mineral with chemical formula Ca2(Al,Fe)2O5. It is named for Lorrin Thomas Brownmiller (1902–1990), chief chemist of the Alpha Portland Cement Company, Easton, Pennsylvania."
Brucite,https://en.wikipedia.org/wiki/Brucite,Oxide mineral,Mg(OH)2,Mg(OH)<sub>2</sub>,Brc,4.FE.05,Trigonal,Hexagonal crystal family,3m,3 2/m,"White, pale green, blue, gray; honey-yellow to brownish red",Perfect on {0001},2.5 to 3,White,2.39 to 2.40,Vitreous to pearly,Tabular crystals; platy or foliated masses and rosettes – fibrous to massive,,"Brucite is the mineral form of magnesium hydroxide, with the chemical formula Mg(OH)2. It is a common alteration product of periclase in marble; a low-temperature hydrothermal vein mineral in metamorphosed limestones and chlorite schists; and formed during serpentinization of dunites. Brucite is often found in association with serpentine, calcite, aragonite, dolomite, magnesite, hydromagnesite, artinite, talc and chrysotile."
Brushite,https://en.wikipedia.org/wiki/Brushite,Phosphate mineral,CaHPO4 · 2 H2O,CaHPO4·2H2O,Bsh,8.CJ.50,Monoclinic,,,,Colorless to pale or ivory-yellow,Perfect on {010} and {001},2.5,,2.328,"Vitreous, pearly on cleavages",Prismatic to tabular acicular crystals; typically powdery or earthy,,Brushite is a phosphate mineral with the chemical formula CaHPO4·2H2O.  Crystals of the pure compound belong to the monoclinic space group C2/c and are colorless. It is the phosphate analogue of the arsenate pharmacolite.
Buddingtonite,https://en.wikipedia.org/wiki/Buddingtonite,Silicate mineral,NH4AlSi3O8,NH<sub>4</sub>AlSi<sub>3</sub>O<sub>8</sub>,Bud,9.FA.30,Monoclinic,Prismatic (2) or sphenoidal (2/m),,,Colorless,"Good on {001}, distinct on {010}",5.5,Light grey to yellow (impure specimens),2.32,Vitreous,Compact masses replacing plagioclase as pseudomorphs,,"Buddingtonite is an ammonium feldspar with formula: NH4AlSi3O8 (note: some sources add 0.5H2O to the formula). It forms by hydrothermal alteration of primary feldspar minerals. It is an indicator of possible gold and silver deposits, as they can become concentrated by hydrothermal processes. It crystallizes in the monoclinic crystal system and is colorless to white with a vitreous luster. Its structure is analogous to that of high sanidine (KAlSi3O8). Buddingtonite has a hardness of 5.5 and a specific gravity of 2.32."
Bukovite,https://en.wikipedia.org/wiki/Bukovite,Selenide - Bukovite group,Tl2(CuFe)4Se4,Tl<sub>2</sub>(CuFe)<sub>4</sub>Se<sub>4</sub>,Bko,2.BD.30,Tetragonal,Ditetragonal dipyramidal,4/mmm,4/m 2/m 2/m,Grayish-brown,Distinct/Good: Good on {001} imperfect on {100},2,,7.40 (calculated),metallic,,,Bukovite is a rare selenide mineral with formula Tl2Cu3FeSe4. It is a brown to black metallic mineral which crystallizes in the tetragonal system.
Bukovskyite,https://en.wikipedia.org/wiki/Bukovskyite,Arsenate minerals,Fe2(AsO4)(SO4)(OH)·7H2O,Fe<sub>2</sub>(AsO<sub>4</sub>)(SO<sub>4</sub>)(OH)·7H<sub>2</sub>O,Buk,8.DB.40,Triclinic,Unknown space group,,,,,,,,,,,"Bukovskyite (also known as ""clay of Kutná Hora"") is an iron arsenate sulfate mineral with formula: Fe2(AsO4)(SO4)(OH)·7H2O which forms nodules with a reniform (kidney-shaped) surface. Under a microscope, these nodules appear as a collection of minute needles similar to gypsum. Some can be seen with the naked eye and occur inside the nodules."
Bultfonteinite,https://en.wikipedia.org/wiki/Bultfonteinite,Nesosilicates,"Ca2SiO2(OH,F)4","Ca<sub>2</sub>SiO<sub>2</sub>(OH,F)<sub>4</sub>",Bul,9.AG.80,Triclinic,Pinacoidal,1,1,"Colorless, pink",Good on {100} and {010},4.5,White,,Vitreous,,,"Bultfonteinite, originally dutoitspanite, is a pink to colorless mineral with chemical formula Ca2SiO2(OH,F)4. It was discovered in 1903 or 1904 in the Bultfontein mine in South Africa, for which the mineral is named, and described in 1932."
Bunsenite,https://en.wikipedia.org/wiki/Bunsenite,Oxide mineral,NiO,NiO,Bus,4.AB.25,Cubic,Hexoctahedral,m3m,4/m 3 2/m,Dark pistachio-green,None,5.5,Brownish-black,6.898,Vitreous,"Octahedral crystal coatings, also cube or dodecahedron forms",,"Bunsenite is the naturally occurring form of nickel(II) oxide, NiO. It occurs as rare dark green crystal coatings. It crystallizes in the cubic crystal system and occurs as well formed cubic, octahedral and dodecahedral crystals. It is a member of the periclase group."
Bustamite,https://en.wikipedia.org/wiki/Bustamite,Inosilicate,CaMn2+Si2O6,CaMn<sup>2+</sup>Si<sub>2</sub>O<sub>6</sub>,Bst,9.DG.05,Triclinic,Pinacoidal 1,,Pinacoidal 1,Light pink to brownish red Pink color fades on exposure to sunlight,{100} perfect; {110} and {110} good; {010} poor,5.5 to 6.5,White,3.32 to 3.43 (observed) 3.40 (calculated),Vitreous,"Usually tabular or equant to prismatic; commonly massive, often compact and fibrous",,"Bustamite is a calcium manganese inosilicate (chain silicate) and a member of the wollastonite group. Magnesium, zinc and iron are common impurities substituting for manganese. Bustamite is the high-temperature polymorph of CaMnSi2O6 and johannsenite is the low temperature polymorph. The inversion takes place at 830 °C (1,530 °F), but may be very slow.Bustamite could be confused with light-colored rhodonite or pyroxmangite, but both these minerals are biaxial (+) whereas bustamite is biaxial (-)."
Bystrite,https://en.wikipedia.org/wiki/Bystrite,Tectosilicate,"(Na,K)7Ca(Si6Al6)O24S4.5•(H2O)","(Na,K)<sub>7</sub>Ca(Si<sub>6</sub>Al<sub>6</sub>)O<sub>24</sub>S<sub>4.5</sub>•(H<sub>2</sub>O)",Bys,9.FB.05,Trigonal,Ditrigonal pyramidal,3m,3m,Yellow,{1010} Good,5,light yellow,2.43,Vitreous,Tabular to irregular grains and inclusions,,"Bystrite is a silicate mineral with the formula (Na,K)7Ca(Si6Al6)O24S4.5•(H2O), and a member of the cancrinite mineral group. It is a hexagonal crystal, with a 3m point group. The mineral may have been named after the Malaya Bystraya deposits in Russia, where it was found."
Cabalzarite,https://en.wikipedia.org/wiki/Cabalzarite,Arsenate minerals,"Ca(Mg,Al,Fe3+)2[AsO4]2•2(H2O,OH)","Ca(Mg,Al,Fe<span>2</sub></span>O,OH)",Clz,8.CG.15,Monoclinic,Prismatic,2/m,2/m,"Light brown, brownish pink, orange brown",,5,White,3.89,Vitreous,"Aggregates and clusters, granular",,"Cabalzarite is a rare arsenate mineral with the chemical formula Ca(Mg,Al,Fe3+)2[AsO4]2•2(H2O,OH). It is a member of the tsumcorite group. It crystallizes in the monoclinic system and typically occurs as clusters of crystals or granular aggregates."
Cabriite,https://en.wikipedia.org/wiki/Cabriite,Platinum Group mineral,Pd2SnCu,Pd<sub>2</sub>SnCu,Cbr,1.AG.30,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,grey white,,4-4.5,,,Metallic,,,Cabriite (Pd2SnCu) is a mineral first found in the eastern Siberian region of Russia and named for the Canadian mineralogist Louis J. Cabri (born 1934).
Cacoxenite,https://en.wikipedia.org/wiki/Cacoxenite,Phosphate minerals,Fe3+24Al(PO4)17O6(OH)12·17(H2O),Fe<sup>3+</sup><sub>24</sub>Al(PO<sub>4</sub>)<sub>17</sub>O<sub>6</sub>(OH)<sub>12</sub>·17(H<sub>2</sub>O),Cac,8.DC.40,Hexagonal,Dipyramidal,6/m,6/m,"Yellow to brownish yellow, reddish orange, golden yellow, deep orange, green; yellow in transmitted light",None,3-4,White,2.2 - 2.6,Silky,"Acicular, radial, stellate",,"Cacoxenite is an iron aluminium phosphate mineral with formula: Fe3+24Al(PO4)17O6(OH)12·17(H2O). Cacoxenite is associated with iron ores. The name comes from the Greek κăκός for ""bad"" or ""evil"" and ξένος for ""guest"" because the phosphorus content of cacoxenite lessens the quality of iron smelted from ore containing it."
Cadmium,https://en.wikipedia.org/wiki/Cadmium,,,,,,,,,,,,2.0 ,,,,,,
Cadmoindite,https://en.wikipedia.org/wiki/Cadmoindite,Sulfide mineral Thiospinel group Spinel structural group,CdIn2S4,CdIn<sub>2</sub>S<sub>4</sub>,Cad,2.DA.05,Cubic,Hexoctahedral,m3m,4/m 3 2/m,Black to dark brown,,,,,Adamantine,Microscopic octahedral crystals,,"Cadmoindite (CdIn2S4) is a rare cadmium indium sulfide mineral discovered in Siberia around the vent of a high-temperature (450–600 °C) fumarole at the Kudriavy volcano, Iturup Island in the Kuril Islands. It has also been reported from the Kateřina Coal Mine in Bohemia, Czech Republic."
Cadmoselite,https://en.wikipedia.org/wiki/Cadmoselite,,,,,,,,,,,,,,,,,,Cadmoselite is a rare cadmium selenide mineral with chemical formula CdSe. Cadmoselite crystallizes in the hexagonal system and occurs as black to pale grey opaque crystals and grains.
Cadwaladerite,https://en.wikipedia.org/wiki/Cadwaladerite,Halide mineral,AlCl(OH)2·4(H2O),AlCl(OH)<sub>2</sub>·4(H<sub>2</sub>O),Cwd,3.BD.05,amorphous,,,,Lemon yellow,,,,1.66,Vitreous,,,"Cadwaladerite is a rare aluminium halide mineral with formula: AlCl(OH)2·4(H2O). It was reported for an amorphous substance associated with sulfate minerals and embedded in a halite crystal cluster. Its status is uncertain due to inadequate data.It was first described in 1941 for an occurrence in mine dumps of the Victoria Segunda mine Cerros Pintados, Iquique province, Tarapacá Region, Chile. It was named for Charles Meigs Biddle Cadwalader, president of the Academy of Natural Sciences. Lesukite was discredited (IMA2018-H)."
Cafarsite,https://en.wikipedia.org/wiki/Cafarsite,Arsenites,"Ca8(Ti,Fe2+,Fe3+,Mn)6–7(AsO3)12·4H2O",Ca<span>12</sub></span>,Caf,4.JC.05,Isometric,Diploidal,m3,2/m 3,Dark brown,,5+1⁄2 - 6,Yellow brown,3.9,sub-metallic,Cubic/octahedral crystals,,"Cafarsite (Ca8(Ti,Fe2+,Fe3+,Mn)6–7(AsO3)12·4H2O)is a rare calcium iron arsenite mineral. Manganese and titanium occur with iron in the formula."
Cafetite,https://en.wikipedia.org/wiki/Cafetite,oxide mineral,"(Ca,Mg)(Fe,Al)2Ti4O12·4(H2O)","(Ca,Mg)(Fe,Al)<span>12</sub></span>",Cft,4.FL.75,Monoclinic,Prismatic,2/m,2/m,Pale yellow to colorless,Prismatic,4-5,White,3.28,Adamantine,"Elongated columnar to acicular crystals, fibrous aggregates, pseudo-orthorhombic",,"Cafetite is a rare titanium oxide mineral with formula (Ca,Mg)(Fe,Al)2Ti4O12·4(H2O).  It is named for its composition, Ca-Fe-Ti."
Cahnite,https://en.wikipedia.org/wiki/Cahnite,Borate minerals,Ca2B[AsO4](OH)4,Ca<sub>2</sub>B[AsO<sub>4</sub>](OH)<sub>4</sub>,Cah,6.AC.70,Tetragonal,Disphenoidal,4,4,Colorless to white,PerfectOn {110},3,,,Vitreous,,,"Cahnite (Cahnit in German, Cahnita in Spanish, Канит in Russian) is a brittle white or colorless mineral that has perfect cleavage and is usually transparent.  It usually forms tetragonal-shaped crystals and it has a hardness of 3 mohs.  Cahnite was discovered in the year 1921.  It was named Cahnite to honor Lazard Cahn (1865–1940), who was a mineral collector and dealer. It is usually found in the Franklin Mine, in Franklin, New Jersey,  but has also been found in Japan as well as in the Vallerano quarries in Rome, Italy. The geological environment that it occurs in is in pegmatites cutting a changed zinc orebody.The chemical formula for cahnite is Ca2B[AsO4](OH)4. It is made up of 26.91% calcium, 3.63% boron, 25.15% arsenic, 1.35% hydrogen, and 42.96% oxygen.  It has a molecular weight of 297.91 grams. Cahnite is not radioactive. Cahnite is associated with these other minerals: willemite, rhodonite, pyrochroite, hedyphane, datolite, and baryte."
